992644,Braydon,Preuss,90
1002232,Andrew,Brayshaw,60
996059,Harris,Andrews,20
270325,Robbie,Tarrant,100
293603,Sam,Mayes,110
294469,Aliir,Aliir,160
992128,Ryan,Burton,110
291548,Ryan,Lester,20
280012,Jordan,Roughead,40
240232,Ben,Reid,40
290307,Dane,Rampe,160
990816,Aaron,Francis,50
992018,Teia,Miles,80
1000963,Harry,Morrison,80
990827,Jack,Graham,120
992000,Jack,Lonie,130
290622,Mitch,Brown,50
291849,Brody,Mihocek,40
1004356,Brayden,Ainsworth,150
280990,Steven,Motlop,110
290817,Brandon,Matera,60
260930,Shane,Edwards,120
281024,Maverick,Weller,120
280506,Taylor,Walker,10
998260,Jack,Bowes,1000
230232,Daniel,Wells,40
296367,Tom,Boyd,140
1004880,Ben,Ronke,160
294168,Marcus,Adams,20
1000981,Daniel,Rioli,120
240060,Eddie,Betts,10
290199,Majak,Daw,100
250362,David,Mackay,10
290085,Taylor,Duryea,140
291550,Josh,Walker,20
1007125,Corey,Maynard,90
280972,Jack,Watts,110
997842,Colin,O'Riordan,160
998115,Taylin,Duman,60
290546,Aaron,Young,1000
1000953,Harry,McKay,30
992059,Sam,Switkowski,60
294798,Mark,Baguley,50
997100,Will,Hayward,160
998180,Bailey,Banfield,60
281395,Scott,D. Thompson,100
290787,Shaun,Atley,100
297456,Nick,Holman,1000
297473,Jake,Kelly,10
298347,Jake,Long,50
1002227,Jack,Higgins,120
294643,Alex,Sexton,1000
993828,Rhys,Mathieson,20
298111,Jeremy,Finlayson,1010
996232,Matt,Guelfi,50
294663,Jackson,Thurlow,160
240072,Heath,Grundy,160
998103,Oliver,Florent,160
296343,Jay,Kennedy Harris,90
998212,Kobe,Mutch,50
291307,Daniel,Menzel,160
295340,Mason,Wood,100
1002770,Callum,L. Brown,40
290550,Cameron,Guthrie,70
291492,Josh,Bruce,130
261362,Alex,Rance,120
270653,Jeff,Garlett,90
296733,Mark,Blicavs,70
1001449,Mitch,Hannan,90
295313,Lin,Jong,140
291327,Jonathon,Ceglar,80
993946,Ben,Keays,20
296452,Darren,Minchington,80
298289,Peter,Wright,1000
260710,Paul,Puopolo,80
280959,Nathan,Vardy,150
291334,David,Mirra,80
294621,Lewis,Pierce,130
296269,Darcy,Gardiner,20
280804,Phil,Davis,1010
295461,Adam,Saad,50
280969,Tom,Scully,80
298144,Sam,Naismith,160
298281,Jake,Lever,90
290198,David,Astbury,120
298302,Caleb,Marchbank,30
993816,Darcy,Tucker,60
998529,Ivan,Soldo,120
240226,Kieren,Jack,160
990290,Tom,Barrass,150
270861,Levi,Greenwood,40
293193,Luke,Brown,10
1002235,Cameron,Rayner,20
298277,Billy,Gowers,140
996708,Bailey,Dale,140
1007124,Conor,Nash,80
290675,Daniel,Lloyd,1010
997033,Brennan,Cox,60
1002228,Lachie,Fogarty,70
294570,Dean,Kent,130
998130,Ben,Ainsworth,1000
1004894,Aiden,Bonar,1010
298280,Jayden,Laverde,50
1004364,Liam,Ryan,150
1002264,Hunter,Clark,130
1006314,Dylan,Moore,80
998225,Zachary,Sproule,1010
1001043,Oliver,Hanrahan,80
1002354,Stefan,Giro,60
998647,Mason,Cox,40
1000860,Lachlan,Schultz,60
291947,Brendon,Ah Chee,150
993998,Jy,Simpkin,100
1004919,Jackson,Ross,80
250338,Nick,Smith,160
1002239,Adam,Cerra,60
1006148,Ian,Hill,1010
992076,Tom,Wilkinson,100
992786,Jake,Aarts,120
993832,Jacob,Weitering,30
